epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,11247,0.68461,1.49382,1.04596,1.10921,0,0.69567,0.57441,0.65077,0.53086,0.69706,0.57009,0.64349,0.50192,0.70657,1.53276,1.11811,1.10477,0,0.0007327,0.0007327,0.0007327
29,11644.3,0.6817,1.48483,1.02989,1.10581,0,0.68904,0.59205,0.6578,0.53802,0.68804,0.58931,0.64976,0.50739,0.70293,1.52894,1.10162,1.10147,0,0.0007228,0.0007228,0.0007228
30,12042.4,0.67614,1.47658,1.01934,1.10038,0,0.68494,0.59227,0.6523,0.53462,0.67883,0.59379,0.64458,0.503,0.70028,1.53175,1.12475,1.10051,0,0.0007129,0.0007129,0.0007129
31,12440.4,0.67043,1.45073,1.01196,1.09664,0,0.68896,0.59642,0.66086,0.54149,0.68913,0.59395,0.65277,0.51028,0.69496,1.5161,1.09824,1.09899,0,0.000703,0.000703,0.000703
32,12838,0.66525,1.4423,0.99461,1.09132,0,0.70775,0.58609,0.66149,0.54093,0.69909,0.5872,0.65354,0.51045,0.69989,1.52397,1.09808,1.10198,0,0.0006931,0.0006931,0.0006931
33,13235.8,0.66356,1.43757,0.98952,1.09128,0,0.69452,0.58974,0.6613,0.54266,0.693,0.58793,0.65396,0.51148,0.68916,1.50808,1.09684,1.09216,0,0.0006832,0.0006832,0.0006832
34,13632.9,0.65917,1.4306,0.97656,1.08845,0,0.69629,0.60193,0.6689,0.54907,0.69699,0.59814,0.66156,0.51866,0.68984,1.49523,1.07966,1.09232,0,0.0006733,0.0006733,0.0006733
35,14029.3,0.66317,1.43582,0.9809,1.09006,0,0.7018,0.5893,0.6633,0.5448,0.70393,0.58639,0.65627,0.51383,0.69056,1.50379,1.08792,1.09352,0,0.0006634,0.0006634,0.0006634
36,14425.5,0.65653,1.40869,0.95889,1.08599,0,0.70488,0.60335,0.67261,0.55213,0.70321,0.60291,0.66657,0.52209,0.68748,1.48476,1.06582,1.09082,0,0.0006535,0.0006535,0.0006535
37,14822.7,0.65737,1.41152,0.95793,1.08587,0,0.70103,0.59892,0.67022,0.55198,0.69884,0.59715,0.66246,0.52096,0.68092,1.48789,1.07499,1.08681,0,0.0006436,0.0006436,0.0006436
38,15219.8,0.64428,1.38899,0.93916,1.07688,0,0.71238,0.59869,0.67293,0.5535,0.71165,0.59834,0.66589,0.52264,0.68085,1.48664,1.0671,1.08646,0,0.0006337,0.0006337,0.0006337
39,15617,0.64874,1.38698,0.93846,1.08258,0,0.71472,0.59699,0.67189,0.55343,0.71424,0.59488,0.66537,0.52171,0.68259,1.48897,1.06734,1.08848,0,0.0006238,0.0006238,0.0006238
40,16013.5,0.64301,1.37974,0.92451,1.0747,0,0.69558,0.61196,0.67238,0.55474,0.69457,0.61058,0.6659,0.52306,0.67906,1.48324,1.06856,1.08437,0,0.0006139,0.0006139,0.0006139
41,16410,0.64096,1.36831,0.90751,1.07315,0,0.70154,0.60855,0.67218,0.55424,0.70828,0.60186,0.66583,0.52251,0.67854,1.48275,1.07209,1.08455,0,0.000604,0.000604,0.000604
42,16807.3,0.63705,1.36041,0.90117,1.07041,0,0.70867,0.60484,0.67407,0.55709,0.7118,0.60086,0.66775,0.525,0.67536,1.47788,1.068,1.08226,0,0.0005941,0.0005941,0.0005941
43,17204.5,0.63129,1.34162,0.89004,1.06802,0,0.70442,0.60814,0.67603,0.55893,0.71695,0.60017,0.66964,0.52624,0.67461,1.47606,1.06326,1.08241,0,0.0005842,0.0005842,0.0005842
44,17601.7,0.62599,1.33445,0.87995,1.06328,0,0.71292,0.60616,0.67982,0.56197,0.71221,0.60393,0.67284,0.52884,0.67469,1.471,1.05434,1.08288,0,0.0005743,0.0005743,0.0005743
45,17999.4,0.62953,1.34315,0.87914,1.06442,0,0.7182,0.60175,0.67905,0.56094,0.71577,0.60094,0.67098,0.52796,0.67397,1.476,1.06122,1.08354,0,0.0005644,0.0005644,0.0005644
46,18396.6,0.62714,1.33111,0.87215,1.06159,0,0.70716,0.60947,0.67691,0.55983,0.70985,0.60442,0.66964,0.52727,0.67394,1.48411,1.06832,1.08404,0,0.0005545,0.0005545,0.0005545
47,18794.4,0.62276,1.31802,0.86183,1.0587,0,0.71517,0.60604,0.679,0.56195,0.71507,0.60382,0.67135,0.52923,0.6716,1.48369,1.06201,1.08209,0,0.0005446,0.0005446,0.0005446
48,19191,0.61836,1.31217,0.85249,1.0561,0,0.70922,0.60961,0.67682,0.55984,0.70691,0.60866,0.66922,0.52744,0.6709,1.48464,1.06977,1.0815,0,0.0005347,0.0005347,0.0005347
49,19587.8,0.61651,1.29798,0.84421,1.05425,0,0.71952,0.60566,0.67697,0.56017,0.71647,0.6045,0.66882,0.52772,0.6711,1.48662,1.06825,1.08242,0,0.0005248,0.0005248,0.0005248
50,19985,0.61633,1.30292,0.83797,1.0544,0,0.70416,0.61658,0.67811,0.56074,0.70162,0.61432,0.66941,0.52833,0.67123,1.49078,1.06948,1.08358,0,0.0005149,0.0005149,0.0005149
51,20382,0.60851,1.27235,0.82716,1.05009,0,0.70471,0.61711,0.67874,0.56138,0.70269,0.61532,0.67039,0.52918,0.67028,1.48922,1.06966,1.08269,0,0.000505,0.000505,0.000505
52,20779.2,0.60697,1.2729,0.82165,1.04795,0,0.71199,0.61175,0.67798,0.56095,0.71026,0.61032,0.67071,0.52816,0.66944,1.48784,1.07117,1.08205,0,0.0004951,0.0004951,0.0004951
53,21176,0.60877,1.2827,0.81327,1.04924,0,0.71788,0.60644,0.67732,0.561,0.71881,0.60442,0.67037,0.52839,0.66981,1.4901,1.0734,1.08203,0,0.0004852,0.0004852,0.0004852
54,21573,0.60637,1.27542,0.80291,1.04532,0,0.71259,0.60932,0.67751,0.561,0.71811,0.60453,0.66967,0.52813,0.66971,1.49396,1.07688,1.08145,0,0.0004753,0.0004753,0.0004753
55,21970.9,0.60239,1.26844,0.80687,1.04495,0,0.71774,0.60667,0.67785,0.56107,0.71781,0.60301,0.66951,0.52781,0.66886,1.49133,1.07484,1.08152,0,0.0004654,0.0004654,0.0004654
56,22367.1,0.60201,1.25971,0.79472,1.04131,0,0.71894,0.60968,0.67827,0.56154,0.71729,0.60754,0.67001,0.52862,0.66889,1.49239,1.07281,1.08133,0,0.0004555,0.0004555,0.0004555
57,22762.8,0.59966,1.26148,0.7904,1.04085,0,0.71418,0.61499,0.67854,0.56229,0.71257,0.61162,0.67031,0.52877,0.66941,1.49175,1.07237,1.08194,0,0.0004456,0.0004456,0.0004456
58,23158.4,0.59447,1.23834,0.77245,1.03605,0,0.72286,0.61006,0.679,0.56247,0.72051,0.60822,0.671,0.52885,0.66953,1.49202,1.07072,1.08171,0,0.0004357,0.0004357,0.0004357
59,23555.7,0.59172,1.23822,0.76722,1.03278,0,0.71897,0.61076,0.67934,0.56264,0.71749,0.60867,0.67135,0.52902,0.66962,1.49336,1.07124,1.08262,0,0.0004258,0.0004258,0.0004258
60,23952.3,0.5934,1.23366,0.76841,1.03528,0,0.71399,0.61486,0.68024,0.56354,0.7198,0.60765,0.67251,0.52966,0.66889,1.49393,1.07027,1.08153,0,0.0004159,0.0004159,0.0004159
61,24348.9,0.59063,1.22878,0.75844,1.0333,0,0.71438,0.61678,0.6804,0.56322,0.71884,0.6097,0.67242,0.52969,0.66865,1.49423,1.07002,1.08164,0,0.000406,0.000406,0.000406
62,24745.1,0.58489,1.22636,0.74409,1.02931,0,0.71469,0.61849,0.68063,0.56324,0.71252,0.61594,0.67267,0.52963,0.66802,1.49712,1.07074,1.08138,0,0.0003961,0.0003961,0.0003961
63,25141.6,0.58445,1.22103,0.74199,1.0293,0,0.71164,0.62105,0.68042,0.56326,0.71312,0.61689,0.67238,0.52962,0.66788,1.50013,1.07253,1.08143,0,0.0003862,0.0003862,0.0003862
64,25538.8,0.58049,1.21217,0.73833,1.02541,0,0.70716,0.62378,0.68012,0.5632,0.70554,0.62169,0.6721,0.52952,0.66775,1.50026,1.07389,1.08141,0,0.0003763,0.0003763,0.0003763
65,25936.1,0.57943,1.20252,0.73159,1.02369,0,0.70548,0.62466,0.67979,0.56281,0.70409,0.62174,0.67176,0.52922,0.66756,1.50227,1.075,1.08141,0,0.0003664,0.0003664,0.0003664
66,26332.9,0.57888,1.20238,0.72411,1.02505,0,0.70849,0.62142,0.67968,0.56276,0.70664,0.61879,0.67142,0.52924,0.66775,1.5037,1.0765,1.0819,0,0.0003565,0.0003565,0.0003565
67,26729.8,0.57674,1.19112,0.71703,1.02384,0,0.70858,0.62198,0.67929,0.56266,0.70615,0.61998,0.67114,0.52893,0.66792,1.50406,1.07732,1.08191,0,0.0003466,0.0003466,0.0003466
68,27126.5,0.57454,1.1915,0.71107,1.02181,0,0.70708,0.62296,0.67939,0.5627,0.70481,0.62112,0.6716,0.5293,0.66759,1.50477,1.07754,1.08153,0,0.0003367,0.0003367,0.0003367
69,27523.6,0.57485,1.19267,0.7065,1.02282,0,0.70815,0.62238,0.67925,0.56251,0.70589,0.62057,0.67136,0.52896,0.66775,1.50546,1.07936,1.08188,0,0.0003268,0.0003268,0.0003268
70,27920,0.57215,1.18254,0.70222,1.01865,0,0.71306,0.61927,0.67927,0.56257,0.70923,0.61882,0.67099,0.5288,0.66779,1.50742,1.07997,1.08226,0,0.0003169,0.0003169,0.0003169
71,28316.1,0.57109,1.18093,0.69566,1.01832,0,0.71279,0.61906,0.67907,0.56231,0.71234,0.61539,0.6712,0.52882,0.66774,1.50932,1.08085,1.08265,0,0.000307,0.000307,0.000307
72,28712.5,0.56711,1.17698,0.68871,1.01763,0,0.71478,0.61623,0.67903,0.56248,0.71857,0.61139,0.67148,0.52867,0.66706,1.51075,1.08115,1.08211,0,0.0002971,0.0002971,0.0002971
73,29109.1,0.56916,1.16661,0.68367,1.01624,0,0.71482,0.61682,0.67898,0.56247,0.71473,0.61493,0.67138,0.52875,0.66656,1.51111,1.08149,1.08168,0,0.0002872,0.0002872,0.0002872
74,29505.6,0.56042,1.16133,0.67413,1.01215,0,0.71102,0.61834,0.67916,0.56246,0.71018,0.61668,0.67118,0.5286,0.66658,1.51205,1.08224,1.08211,0,0.0002773,0.0002773,0.0002773
75,29902.3,0.56072,1.15885,0.67242,1.01208,0,0.71388,0.61648,0.67884,0.56225,0.71242,0.61537,0.67087,0.52835,0.66671,1.51368,1.08347,1.08245,0,0.0002674,0.0002674,0.0002674
76,30298.8,0.56231,1.15337,0.66538,1.01262,0,0.7193,0.61471,0.67925,0.56257,0.71903,0.61225,0.67173,0.52873,0.66673,1.51457,1.08296,1.08243,0,0.0002575,0.0002575,0.0002575
77,30696,0.55872,1.14691,0.66074,1.00942,0,0.71895,0.61525,0.67923,0.56274,0.72186,0.61046,0.67165,0.52865,0.66651,1.51524,1.0836,1.0822,0,0.0002476,0.0002476,0.0002476
78,31093,0.55662,1.14656,0.64941,1.00686,0,0.72456,0.6111,0.67901,0.56268,0.72295,0.60991,0.67146,0.52861,0.66649,1.51736,1.0842,1.08232,0,0.0002377,0.0002377,0.0002377
79,31489.7,0.55697,1.13703,0.64631,1.00648,0,0.72948,0.6079,0.67869,0.56263,0.72838,0.60715,0.67135,0.52873,0.66622,1.51783,1.08481,1.08212,0,0.0002278,0.0002278,0.0002278
80,31886.4,0.55149,1.12998,0.63756,1.00623,0,0.72877,0.60792,0.67816,0.56234,0.72778,0.60724,0.67136,0.52876,0.66654,1.51876,1.08612,1.08289,0,0.0002179,0.0002179,0.0002179
